word,class,level,meaning,full_sentence,category
ahead,adverb,b1,"phía trước, trước",The road ahead is clear for us to continue our journey.,Travel
aid,noun,b2,"sự giúp đỡ, viện trợ",The country sent humanitarian aid to the earthquake victims.,General
aid,verb,b2,"giúp đỡ, viện trợ",New technology can aid doctors in diagnosing diseases more accurately.,Innovation & Engineering
aide,noun,c1,"trợ lý, phụ tá",A senior aide to the president announced the new policy.,Politics & Law
AIDS,noun,b2,bệnh AIDS (Hội chứng suy giảm miễn dịch mắc phải),"Significant progress has been made in the treatment of AIDS, but a cure is still being sought.",Medical & Treatment
aim,noun,b1,"mục tiêu, mục đích",Her main aim in life is to help others.,General
aim,verb,b1,"nhắm (mục tiêu), hướng tới",He aimed the camera at the beautiful sunset.,General
air,noun,a1,không khí,We need fresh air to breathe.,Weather & Climate
aircraft,noun,b2,"máy bay, phi cơ",The aircraft landed safely despite the strong winds.,Transportation
airline,noun,a2,hãng hàng không,Which airline are you flying with to Paris?,Transportation
airport,noun,a1,sân bay,We arrived at the airport two hours before our flight.,Transportation
alarm,noun,b1,chuông báo động; sự hoảng sợ,"The fire alarm went off, and everyone evacuated the building.",Health
alarm,verb,b2,làm hoảng sợ; báo động,The sudden noise alarmed the sleeping baby.,Feelings & States
albeit,conjunction,c1,"mặc dù, dẫu cho","He accepted the job, albeit with some hesitation.",General
album,noun,b1,tập ảnh; album nhạc,She showed me her old photo album from her childhood.,Music & Performance
alcohol,noun,b1,"chất cồn, rượu",Drinking too much alcohol can be harmful to your health.,Health
alcoholic,adjective,b1,"có cồn, chứa cồn; liên quan đến rượu",Many cultures have traditional alcoholic beverages.,Food & Drink
alert,adjective,c1,"tỉnh táo, cảnh giác",It's important to stay alert when driving long distances.,Health
alert,noun,c1,"sự báo động, cảnh báo",The weather service issued an alert for heavy thunderstorms.,Environment
alert,verb,c1,"cảnh báo, báo động",The system will alert you if there is any unusual activity.,Technology
alien,adjective,c1,"xa lạ, khác biệt",The customs of the new country felt completely alien to him at first.,Arts & Music
alien,noun,b2,người ngoài hành tinh; người nước ngoài (không phải công dân),Many science fiction movies feature friendly or hostile aliens visiting Earth.,Science
align,verb,c1,sắp xếp thẳng hàng; điều chỉnh cho phù hợp,The company's goals need to align with the values of its employees.,Professions
alignment,noun,c1,sự sắp xếp thẳng hàng; sự điều chỉnh phù hợp,Regular wheel alignment is important for the safety and longevity of your car.,General
alike,adjective,c1,"giống nhau, tương tự","Despite their different personalities, the two sisters look remarkably alike.",Family
alike,adverb,c1,"giống nhau, như nhau",The two sisters are very much alike in appearance and personality.,Emotions
alive,adjective,a2,"còn sống, sống","After the rescue, they were relieved to find everyone still alive.",General
all,adverb,a2,"hoàn toàn, tất cả",She was all alone in the big house.,Grammar
all,determiner,a1,"tất cả, toàn bộ",All the students submitted their assignments on time.,Grammar
all,pronoun,a1,tất cả mọi người/vật,All of them agreed to the new plan.,Grammar
all right,adjective,a2,"ổn, tốt, được",Are you feeling all right after your long journey?,Health
all right,adverb,a2,"được, tốt, không sao","The presentation went all right, nothing spectacular but no major problems.",Professions
all right,exclamation,a2,"được rồi!, thôi được!","All right, I'll help you with your homework, but only for an hour.",Grammar
allegation,noun,c1,"sự cáo buộc, lời tố cáo",The company is facing serious allegations of financial misconduct.,Politics & Law
allege,verb,c1,"cáo buộc, tố cáo",It is alleged that the politician accepted bribes.,Politics & Law
allegedly,adverb,c1,"được cho là, theo lời đồn",The suspect allegedly committed the crime last night.,Politics & Law
alliance,noun,c1,"liên minh, khối liên minh",The two countries formed an alliance to promote peace and trade.,Politics & Law
allocate,verb,c1,"phân bổ, cấp phát",The government decided to allocate more funds to education.,Finance
allocation,noun,c1,"sự phân bổ, sự cấp phát",The allocation of resources was carefully planned by the committee.,General
allow,verb,a2,"cho phép, để cho",My parents don't allow me to stay out late on weekdays.,People
allowance,noun,c1,tiền trợ cấp; tiền tiêu vặt,My parents give me a weekly allowance for doing chores.,Finance
ally,noun,c1,đồng minh; nước đồng minh,"During the war, several nations formed an alliance and became allies.",Politics & Law
almost,adverb,a2,gần như; hầu như,I almost forgot my keys when I left the house this morning.,Grammar
alone,adjective,a2,một mình; cô đơn,She felt completely alone after everyone else had left the party.,Feelings & States
alone,adverb,a2,một mình; riêng mình,He prefers to work alone on complex projects.,Professions
along,adverb,a2,"cùng với, đi theo",Why don't you come along with us to the party?,People
along,preposition,a2,"dọc theo, men theo",We walked along the river for an hour.,Travel
alongside,preposition,b2,"bên cạnh, sát cạnh",The car pulled up alongside the curb.,Sports
already,adverb,a2,"rồi, đã rồi","I've already eaten dinner, so I'm not hungry.",Grammar
also,adverb,a1,"cũng, ngoài ra",She is a doctor and also a talented musician.,Professions
alter,verb,b2,"thay đổi, sửa đổi",The tailor had to alter the dress to fit her perfectly.,Fashion
alternative,adjective,b1,"thay thế, khác",We are looking for an alternative energy source that is more sustainable.,Environment
alternative,noun,a2,"sự lựa chọn khác, phương án thay thế","If you don't like this option, there's always an alternative.",General
although,conjunction,a2,"mặc dù, dẫu cho","Although it was raining, we decided to go for a walk.",Environment
altogether,adverb,b2,"hoàn toàn, tổng cộng",The project was an altogether different challenge than we expected.,General
aluminium,noun,c1,"nhôm (một kim loại nhẹ, màu bạc)",Aluminium is a lightweight metal often used in aircraft construction.,General
always,adverb,a1,"luôn luôn, lúc nào cũng",She always drinks a cup of coffee in the morning.,Duration & Frequency
amateur,adjective,c1,"nghiệp dư, không chuyên nghiệp",His amateur photography skills were surprisingly good for someone without formal training.,Daily Life
amateur,noun,c1,"người nghiệp dư, người không chuyên",The competition is open to both professionals and amateurs.,Sports
amazed,adjective,b1,"kinh ngạc, ngạc nhiên tột độ",I was amazed by how quickly she learned to play the piano.,Feelings & States
amazing,adjective,a1,"Tuyệt vời, kinh ngạc",The view from the top of the mountain was absolutely amazing.,Environment
ambassador,noun,c1,Đại sứ,The ambassador represented her country at the international conference.,Politics & Law
ambition,noun,b1,"Hoài bão, tham vọng",Her ambition was to become a successful entrepreneur.,People
ambitious,adjective,b1,"Tham vọng, có hoài bão",He is an ambitious young man with big plans for the future.,People
ambulance,noun,b2,Xe cứu thương,An ambulance arrived quickly at the scene of the accident.,Medical & Treatment
amend,verb,c1,"sửa đổi, cải thiện",The committee voted to amend the proposed legislation.,Politics & Law
amendment,noun,c1,"sự sửa đổi, tu chính án",They proposed an amendment to the constitution.,Government & Politics
amid,preposition,c1,"ở giữa, trong bối cảnh",The new policy was announced amid widespread protests.,General
among,preposition,a2,"giữa (nhiều người/vật), trong số",She was the tallest among her friends.,People
amount,noun,a2,"số lượng, lượng",A large amount of money was donated to the charity.,Finance
amount,verb,b2,"lên tới, tổng cộng là",The total cost of the repairs will amount to over $500.,Finance
amusing,adjective,b2,"vui nhộn, gây cười",The comedian told an amusing story that made everyone laugh.,Arts & Music
analogy,noun,c1,"sự tương tự, phép so sánh",The teacher used an analogy of a computer to explain how the brain works.,General
analyse,verb,b1,phân tích,Scientists need to analyse the data carefully before drawing conclusions.,Science
analysis,noun,b1,sự phân tích,The detailed analysis of the market trends helped the company make strategic decisions.,Business & Management
analyst,noun,b2,nhà phân tích,The financial analyst presented a detailed report on market trends.,Professions
ancestor,noun,b2,tổ tiên,My ancestors immigrated to this country over a century ago.,Family
anchor,noun,c1,mỏ neo; người dẫn chương trình,The ship dropped its anchor in the calm bay.,General
ancient,adjective,a2,"cổ đại, xưa",We visited the ancient ruins of a Roman city.,Time
and,conjunction,a1,và,She bought apples and bananas at the market.,Grammar
angel,noun,c1,thiên thần,The children believed they saw an angel with shining wings in their dream.,General
anger,noun,b2,"sự tức giận, cơn giận",He struggled to control his anger after hearing the unfair news.,Feelings & States
angle,noun,b2,"góc (trong hình học); góc độ, quan điểm",The photographer tried to find the best angle to capture the sunset.,General
angrily,adverb,b2,"một cách giận dữ, tức giận",She slammed the door angrily after the argument.,Emotions
angry,adjective,a1,"tức giận, giận dữ",He was very angry when his favorite toy broke.,Emotions
animal,noun,a1,động vật,A dog is a domestic animal.,Science
animation,noun,b2,"phim hoạt hình, sự hoạt hình hóa",The children loved watching the new animation movie.,Arts & Music
ankle,noun,a2,mắt cá chân,She twisted her ankle while playing soccer.,Body & Fitness
anniversary,noun,b2,ngày kỷ niệm,They celebrated their tenth wedding anniversary last month.,General
announce,verb,b1,"thông báo, công bố",The company will announce its new product next week.,Business & Management
announcement,noun,b1,"thông báo, lời công bố",The company made an important announcement about its new product launch.,Professions
annoy,verb,b1,"làm phiền, chọc tức",Please don't annoy your sister while she's studying.,Emotions
annoyed,adjective,b1,"bực mình, khó chịu",She was annoyed by the constant noise from the construction site.,Emotions
annoying,adjective,b1,"gây khó chịu, phiền toái",His habit of tapping his pen is really annoying.,Grammar
annual,adjective,b2,"hàng năm, thường niên",The company holds its annual meeting in December.,Professions
annually,adverb,b2,"hàng năm, mỗi năm",The company publishes its financial report annually.,Professions
anonymous,adjective,c1,"ẩn danh, giấu tên",The generous donation came from an anonymous benefactor.,Personal & Social
another,determiner,a1,"một cái khác, một người khác (dùng trước danh từ số ít)",Would you like another cup of coffee?,Grammar
another,pronoun,a1,"một cái khác, một người khác (thay thế cho danh từ)",I don't like this one; please show me another.,Grammar
answer,noun,a1,"câu trả lời, lời giải đáp",She waited for an answer to her question.,Communication
answer,verb,a1,"trả lời, đáp lại",Please answer the phone when it rings.,Communication
anticipate,verb,b2,"dự đoán, lường trước",We anticipate a large crowd at the concert tonight.,General
anxiety,noun,b2,"sự lo lắng, nỗi lo âu",He felt a lot of anxiety before his big presentation.,Feelings & States
anxious,adjective,b2,"lo lắng, bồn chồn",She was anxious about her exam results.,Feelings & States
any,adverb,a2,"chút nào, tí nào (thường dùng trong câu phủ định hoặc nghi vấn)",Is he any better today?,Grammar
any,determiner,a1,"bất kỳ, bất cứ",Do you have any questions about the project?,Communication
any,pronoun,a1,"bất kỳ cái nào, bất cứ ai/cái gì","I don't have any left, you can take mine.",Daily Life
any more,adverb,a2,"không còn nữa, nữa",She doesn't work here any more.,Time
anybody,pronoun,a2,"bất cứ ai, ai đó",Did anybody see what happened?,Communication
anyone,pronoun,a1,"bất cứ ai, ai đó",Is there anyone who can help me with this task?,Professions
anything,pronoun,a1,"bất cứ cái gì, bất cứ điều gì",Do you need anything from the store?,Daily Life
anyway,adverb,a2,"dù sao đi nữa, dù thế nào đi nữa","It was raining, but we went for a walk anyway.",Grammar
anywhere,adverb,a2,"bất cứ nơi nào, ở đâu đó",I can't find my keys anywhere.,Grammar
anywhere,pronoun,a2,bất cứ nơi nào (dùng như danh từ),"Anywhere you go, you'll find friendly people.",Travel
apart,adverb,b1,"cách xa nhau, riêng ra",The two houses are quite far apart.,Travel
apartment,noun,a1,"căn hộ, chung cư",They live in a small apartment on the third floor.,Home & Housing
apologize,verb,b1,"xin lỗi, tạ lỗi",You should apologize for your rude behavior.,Communication
apology,noun,b2,"lời xin lỗi, sự tạ lỗi",He offered a sincere apology for being late.,Communication
app,noun,a2,ứng dụng (phần mềm),I downloaded a new app to help me learn Spanish.,Computing & Internet
apparatus,noun,c1,"bộ máy, thiết bị, dụng cụ",The laboratory is equipped with the latest scientific apparatus.,Technology & Engineering
apparent,adjective,b2,"rõ ràng, hiển nhiên",It was apparent to everyone that she was upset.,General
apparently,adverb,b2,"hình như, dường như","Apparently, the new restaurant is very good.",General
appeal,noun,b2,"sự kêu gọi, sự hấp dẫn",The charity launched an appeal for donations to help flood victims.,Society & Community
appeal,verb,b2,"kêu gọi, kháng cáo, hấp dẫn",The idea of a quiet evening at home appeals to me tonight.,Grammar
appealing,adjective,c1,"hấp dẫn, lôi cuốn",The bright colors and fresh ingredients made the dish look very appealing.,Food & Drink
appear,verb,a2,"xuất hiện, có vẻ","A new problem has appeared, and we need to solve it quickly.",General
appearance,noun,a2,"sự xuất hiện, vẻ bề ngoài",Her sudden appearance surprised everyone at the party.,General
appetite,noun,c1,"sự thèm ăn, khẩu vị",The fresh air and exercise gave him a healthy appetite.,Body & Fitness
applaud,verb,c1,vỗ tay tán thưởng,The audience began to applaud loudly after the amazing performance.,Music & Performance
apple,noun,a1,quả táo,She picked a red apple from the tree and took a bite.,Fruits & Vegetables
applicable,adjective,c1,"có thể áp dụng, thích hợp",The new regulations are applicable to all members of the organization.,Politics & Law
applicant,noun,b2,"người nộp đơn, ứng viên",Each applicant must submit a resume and cover letter by the deadline.,Professions
application,noun,b1,"đơn xin, ứng dụng, sự áp dụng",Please fill out the application form completely and accurately.,General
apply,verb,a2,"nộp đơn, áp dụng, bôi (thuốc)",You should apply for the scholarship before the end of the month.,General
appoint,verb,c1,"bổ nhiệm, chỉ định",The board decided to appoint a new CEO to lead the company.,General
appointment,noun,b1,"cuộc hẹn, sự bổ nhiệm",I have a doctor's appointment at 3 PM tomorrow.,Daily Life
appreciate,verb,b1,"đánh giá cao, trân trọng",I really appreciate your help with this project.,Feelings & States
appreciation,noun,c1,"sự đánh giá cao, sự trân trọng",She showed her appreciation for the gift with a warm smile.,Emotions
